"Country","avg_goals_scored","avg_goals_conceded","avg_goal_diff","points_per_game","fifa_rank","world_cup_appearances","world_cup_medals","power_score","continental_titles_10y","contender_status"
"Germany","2.3","1.1","1.2","2.1","10","20","12","2.3485","1","Favourite"
"Brazil","1.8","0.8","1","1.7","6","22","9","2.257593333333334","1","Favourite"
"Argentina","2.5","0.4","2.1","2.5","3","18","6","2.230981666666667","2","Favourite"
"Spain","3.1","0.8","2.3","2.4","2","16","1","1.89614","2","Contender"
"France","2.7","1.1","1.6","2.5","1","16","4","1.8947016666666667","1","Contender"
"England","2.2","0.5","1.7","2.2","4","16","2","1.6492266666666666","0","Contender"
"Mexico","1.1","1","0.1","1.4","15","17","0","1.5762083333333334","3","Contender"
"Belgium","3.5","1","2.5","2.2","9","14","1","1.5465016666666669","0","Contender"
"United States","1.7","1.6","0.1","1.6","16","11","1","1.5436266666666667","5","Contender"
"Netherlands","3","0.6","2.4","2.4","7","11","3","1.5227150000000003","0","Contender"
"Portugal","2.6","1","1.6","2.1","5","8","1","1.4708750000000002","3","Contender"
"Uruguay","1","0.9","0.1","1.6","17","14","4","1.3377816666666669","0","Dark Horse"
"Switzerland","2.5","0.8","1.7","2.1","19","12","0","1.2446350000000002","0","Dark Horse"
"Croatia","2.9","0.8","2.1","2.5","11","6","3","1.2289016666666668","0","Dark Horse"
"Senegal","2.5","0.6","1.9","2.5","14","3","0","1.0905266666666666","2","Dark Horse"
"Austria","2.8","0.5","2.3","2.5","24","7","0","1.0738266666666667","0","Dark Horse"
"Sweden","1.6","1.8","-0.2","1.4","38","12","3","1.0278733333333334","0","Dark Horse"
"Morocco","1.8","0.5","1.3","2.4","8","6","0","1.00624","0","Dark Horse"
"South Korea","1.5","1.2","0.3","1.9","25","11","0","0.9985416666666667","0","Dark Horse"
"Algeria","2.3","0.5","1.8","2.3","28","4","0","0.9297733333333332","1","Dark Horse"
"Japan","1.8","0.7","1.1","2","18","7","0","0.9286733333333332","0","Dark Horse"
"Czech Republic","1.8","1.2","0.6","1.6","41","9","2","0.9185016666666665","0","Dark Horse"
"Colombia","2.1","1","1.1","1.8","13","6","0","0.8849150000000001","0","Dark Horse"
"Norway","3.1","0.6","2.5","2.3","31","3","0","0.8349683333333333","0","Dark Horse"
"Australia","1.5","0.9","0.6","2.1","27","6","0","0.791515","0","Unlikely"
"Ivory Coast","2","0.7","1.3","2.2","34","3","0","0.7891266666666666","1","Unlikely"
"Iran","1.6","0.7","0.9","1.5","21","6","0","0.7834350000000001","0","Unlikely"
"Scotland","1.8","1.2","0.6","1.6","43","8","0","0.7603816666666666","0","Unlikely"
"Turkey","2.1","1.4","0.7","2.2","22","2","1","0.6896066666666667","0","Unlikely"
"Paraguay","1","1","0","1.4","40","8","0","0.6893333333333334","0","Unlikely"
"Tunisia","1.4","1","0.4","1.4","44","6","0","0.6130933333333334","0","Unlikely"
"Ecuador","0.7","0.4","0.3","1.4","23","4","0","0.6008483333333332","0","Unlikely"
"Egypt","1.3","0.8","0.5","1.8","29","3","0","0.586435","0","Unlikely"
"Canada","1.1","0.4","0.7","1.7","30","2","0","0.5398333333333333","0","Unlikely"
"DR Congo","1.2","0.3","0.9","2.3","46","1","0","0.5103933333333334","0","Unlikely"
"Saudi Arabia","0.9","1.3","-0.4","1.3","61","6","0","0.4649016666666667","0","Unlikely"
"Panama","1.3","0.8","0.5","1.7","33","1","0","0.4554483333333333","0","Unlikely"
"South Africa","1.5","1.1","0.4","1.5","60","3","0","0.42100000000000004","0","Unlikely"
"Ghana","1.5","1.3","0.2","1.3","74","4","0","0.3953266666666667","0","Highly Improbable"
"Iraq","1.1","0.7","0.4","2","57","1","0","0.3880483333333333","0","Highly Improbable"
"Uzbekistan","1.5","0.7","0.8","1.7","50","0","0","0.36583333333333334","0","Highly Improbable"
"Qatar","0.9","1.9","-1","0.7","55","1","0","0.30254166666666665","2","Highly Improbable"
"Cape Verde","1.7","1","0.7","1.7","69","0","0","0.3019683333333333","0","Highly Improbable"
"Jordan","2","1.5","0.5","1.7","63","0","0","0.2962483333333333","0","Highly Improbable"
"New Zealand","0.9","1.5","-0.6","0.7","85","2","0","0.22954166666666667","1","Highly Improbable"
"Haiti","1.2","1.1","0.1","1.3","83","1","0","0.2217816666666667","0","Highly Improbable"
"Curaçao","1.6","1.3","0.3","1.3","82","0","0","0.19300666666666666","0","Highly Improbable"
