date,team,goals_for,goals_against,win,goal_diff
2018-06-02,Abkhazia,0.0,2.0,0,-2.0
2018-06-03,Abkhazia,2.0,2.0,0,0.0
2018-06-05,Abkhazia,6.0,0.0,1,6.0
2018-06-07,Abkhazia,2.0,0.0,1,2.0
2018-06-09,Abkhazia,2.0,0.0,1,2.0
2019-06-02,Abkhazia,3.0,1.0,1,2.0
2019-06-03,Abkhazia,1.0,0.0,1,1.0
2019-06-04,Abkhazia,1.0,1.0,0,0.0
2019-06-06,Abkhazia,1.0,1.0,0,0.0
2019-06-08,Abkhazia,0.0,0.0,0,0.0
2024-03-26,Afghanistan,2.0,1.0,1,1.0
2024-06-06,Afghanistan,0.0,0.0,0,0.0
2024-06-11,Afghanistan,0.0,1.0,0,-1.0
2024-11-16,Afghanistan,0.0,2.0,0,-2.0
2024-11-19,Afghanistan,1.0,3.0,0,-2.0
2025-03-21,Afghanistan,0.0,2.0,0,-2.0
2025-03-25,Afghanistan,1.0,2.0,0,-1.0
2025-06-10,Afghanistan,0.0,1.0,0,-1.0
2025-10-09,Afghanistan,0.0,0.0,0,0.0
2025-10-14,Afghanistan,1.0,1.0,0,0.0
2025-06-07,Albania,0.0,0.0,0,0.0
2025-06-10,Albania,1.0,1.0,0,0.0
2025-09-04,Albania,1.0,0.0,1,1.0
2025-09-09,Albania,1.0,0.0,1,1.0
2025-10-11,Albania,1.0,0.0,1,1.0
2025-10-14,Albania,4.0,2.0,1,2.0
2025-11-13,Albania,1.0,0.0,1,1.0
2025-11-16,Albania,0.0,2.0,0,-2.0
2026-03-26,Albania,1.0,2.0,0,-1.0
2026-03-31,Albania,0.0,1.0,0,-1.0
2017-06-26,Alderney,0.0,3.0,0,-3.0
2017-06-27,Alderney,0.0,6.0,0,-6.0
2017-06-29,Alderney,3.0,0.0,1,3.0
2018-03-24,Alderney,0.0,2.0,0,-2.0
2019-03-23,Alderney,0.0,2.0,0,-2.0
2019-06-16,Alderney,2.0,4.0,0,-2.0
2019-06-18,Alderney,1.0,6.0,0,-5.0
2019-06-20,Alderney,2.0,1.0,1,1.0
2022-03-25,Alderney,1.0,6.0,0,-5.0
2022-04-23,Alderney,0.0,2.0,0,-2.0
2025-12-06,Algeria,5.0,1.0,1,4.0
2025-12-09,Algeria,2.0,0.0,1,2.0
2025-12-12,Algeria,1.0,1.0,0,0.0
2025-12-24,Algeria,3.0,0.0,1,3.0
2025-12-28,Algeria,1.0,0.0,1,1.0
2025-12-31,Algeria,3.0,1.0,1,2.0
2026-01-06,Algeria,1.0,0.0,1,1.0
2026-01-10,Algeria,0.0,2.0,0,-2.0
2026-03-27,Algeria,7.0,0.0,1,7.0
2026-03-31,Algeria,0.0,0.0,0,0.0
2005-06-23,Ambazonia,2.0,2.0,0,0.0
2006-11-20,Ambazonia,0.0,3.0,0,-3.0
2006-11-21,Ambazonia,0.0,3.0,0,-3.0
2006-11-23,Ambazonia,0.0,3.0,0,-3.0
2006-11-24,Ambazonia,0.0,3.0,0,-3.0
2007-06-07,Ambazonia,1.0,3.0,0,-2.0
2019-07-12,American Samoa,1.0,1.0,0,0.0
2019-07-15,American Samoa,0.0,13.0,0,-13.0
2019-07-18,American Samoa,1.0,8.0,0,-7.0
2023-11-20,American Samoa,0.0,10.0,0,-10.0
2023-11-23,American Samoa,0.0,11.0,0,-11.0
2023-11-27,American Samoa,0.0,4.0,0,-4.0
2023-11-30,American Samoa,2.0,6.0,0,-4.0
2024-09-06,American Samoa,0.0,2.0,0,-2.0
2026-03-25,American Samoa,2.0,5.0,0,-3.0
2026-03-28,American Samoa,0.0,6.0,0,-6.0
1999-12-28,Andalusia,1.0,0.0,1,1.0
2000-12-22,Andalusia,2.0,0.0,1,2.0
2001-05-17,Andalusia,3.0,1.0,1,2.0
2001-12-27,Andalusia,3.0,3.0,0,0.0
2002-12-27,Andalusia,3.0,2.0,1,1.0
2003-12-27,Andalusia,1.0,0.0,1,1.0
2004-12-29,Andalusia,0.0,0.0,0,0.0
2005-12-28,Andalusia,4.0,1.0,1,3.0
2007-12-27,Andalusia,4.0,1.0,1,3.0
2013-06-07,Andalusia,2.0,1.0,1,1.0
2025-06-07,Andorra,0.0,1.0,0,-1.0
2025-06-10,Andorra,0.0,3.0,0,-3.0
2025-09-06,Andorra,0.0,2.0,0,-2.0
2025-09-09,Andorra,0.0,0.0,0,0.0
2025-10-11,Andorra,2.0,2.0,0,0.0
2025-10-14,Andorra,1.0,3.0,0,-2.0
2025-11-13,Andorra,0.0,1.0,0,-1.0
2025-11-17,Andorra,0.0,4.0,0,-4.0
2026-03-27,Andorra,0.0,2.0,0,-2.0
2026-03-31,Andorra,0.0,0.0,0,0.0
2025-03-25,Angola,1.0,2.0,0,-1.0
2025-09-04,Angola,0.0,1.0,0,-1.0
2025-09-09,Angola,3.0,1.0,1,2.0
2025-10-08,Angola,2.0,2.0,0,0.0
2025-10-13,Angola,0.0,0.0,0,0.0
2025-11-14,Angola,0.0,2.0,0,-2.0
2025-11-18,Angola,3.0,2.0,1,1.0
2025-12-22,Angola,1.0,2.0,0,-1.0
2025-12-26,Angola,1.0,1.0,0,0.0
2025-12-29,Angola,0.0,0.0,0,0.0
2024-10-09,Anguilla,0.0,1.0,0,-1.0
2024-10-12,Anguilla,1.0,2.0,0,-1.0
2025-05-25,Anguilla,2.0,4.0,0,-2.0
2025-06-01,Anguilla,0.0,2.0,0,-2.0
2025-06-04,Anguilla,0.0,6.0,0,-6.0
2025-06-07,Anguilla,0.0,3.0,0,-3.0
2025-11-12,Anguilla,2.0,1.0,1,1.0
2025-11-15,Anguilla,0.0,4.0,0,-4.0
2026-03-26,Anguilla,3.0,1.0,1,2.0
2026-03-29,Anguilla,0.0,4.0,0,-4.0
2024-09-07,Antigua and Barbuda,1.0,2.0,0,-1.0
2024-09-10,Antigua and Barbuda,0.0,1.0,0,-1.0
2024-10-12,Antigua and Barbuda,0.0,5.0,0,-5.0
2024-10-15,Antigua and Barbuda,0.0,5.0,0,-5.0
2024-11-16,Antigua and Barbuda,1.0,2.0,0,-1.0
2024-11-19,Antigua and Barbuda,0.0,0.0,0,0.0
2025-06-06,Antigua and Barbuda,0.0,1.0,0,-1.0
2025-06-10,Antigua and Barbuda,0.0,2.0,0,-2.0
2025-11-12,Antigua and Barbuda,0.0,0.0,0,0.0
2025-11-18,Antigua and Barbuda,1.0,4.0,0,-3.0
2008-07-09,Arameans Suryoye,1.0,0.0,1,1.0
2008-07-10,Arameans Suryoye,5.0,0.0,1,5.0
2008-07-11,Arameans Suryoye,0.0,0.0,0,0.0
2008-07-12,Arameans Suryoye,1.0,4.0,0,-3.0
2008-07-13,Arameans Suryoye,0.0,2.0,0,-2.0
2014-06-01,Arameans Suryoye,2.0,1.0,1,1.0
2014-06-02,Arameans Suryoye,2.0,0.0,1,2.0
2014-06-04,Arameans Suryoye,0.0,0.0,0,0.0
2014-06-06,Arameans Suryoye,1.0,4.0,0,-3.0
2014-06-08,Arameans Suryoye,4.0,1.0,1,3.0
2025-03-25,Argentina,4.0,1.0,1,3.0
2025-06-05,Argentina,1.0,0.0,1,1.0
2025-06-10,Argentina,1.0,1.0,0,0.0
2025-09-04,Argentina,3.0,0.0,1,3.0
2025-09-09,Argentina,0.0,1.0,0,-1.0
2025-10-10,Argentina,1.0,0.0,1,1.0
2025-10-14,Argentina,6.0,0.0,1,6.0
2025-11-14,Argentina,2.0,0.0,1,2.0
2026-03-27,Argentina,2.0,1.0,1,1.0
2026-03-31,Argentina,5.0,0.0,1,5.0
2025-03-23,Armenia,1.0,6.0,0,-5.0
2025-06-06,Armenia,2.0,5.0,0,-3.0
2025-06-09,Armenia,2.0,2.0,0,0.0
2025-09-06,Armenia,0.0,5.0,0,-5.0
2025-09-09,Armenia,2.0,1.0,1,1.0
2025-10-11,Armenia,0.0,2.0,0,-2.0
2025-10-14,Armenia,0.0,1.0,0,-1.0
2025-11-13,Armenia,0.0,1.0,0,-1.0
2025-11-16,Armenia,1.0,9.0,0,-8.0
2026-03-29,Armenia,1.0,2.0,0,-1.0
2012-10-21,Artsakh,3.0,0.0,1,3.0
2014-06-01,Artsakh,2.0,3.0,0,-1.0
2014-06-03,Artsakh,0.0,1.0,0,-1.0
2014-06-05,Artsakh,12.0,0.0,1,12.0
2014-06-07,Artsakh,5.0,1.0,1,4.0
2019-06-02,Artsakh,3.0,2.0,1,1.0
2019-06-03,Artsakh,1.0,4.0,0,-3.0
2019-06-04,Artsakh,1.0,1.0,0,0.0
2019-06-06,Artsakh,2.0,1.0,1,1.0
2019-06-08,Artsakh,2.0,0.0,1,2.0
2024-10-14,Aruba,3.0,5.0,0,-2.0
2024-11-15,Aruba,1.0,5.0,0,-4.0
2024-11-18,Aruba,0.0,1.0,0,-1.0
2025-03-25,Aruba,2.0,1.0,1,1.0
2025-06-04,Aruba,1.0,1.0,0,0.0
2025-06-07,Aruba,0.0,5.0,0,-5.0
2025-11-12,Aruba,0.0,0.0,0,0.0
2025-11-15,Aruba,3.0,0.0,1,3.0
2026-03-26,Aruba,4.0,1.0,1,3.0
2026-03-29,Aruba,4.0,1.0,1,3.0
1923-02-25,Asturias,3.0,1.0,1,2.0
2025-06-05,Australia,1.0,0.0,1,1.0
2025-06-10,Australia,2.0,1.0,1,1.0
2025-09-05,Australia,1.0,0.0,1,1.0
2025-09-09,Australia,3.0,1.0,1,2.0
2025-10-10,Australia,1.0,0.0,1,1.0
2025-10-14,Australia,1.0,2.0,0,-1.0
2025-11-14,Australia,0.0,1.0,0,-1.0
2025-11-18,Australia,0.0,3.0,0,-3.0
2026-03-27,Australia,1.0,0.0,1,1.0
2026-03-31,Australia,5.0,1.0,1,4.0
2025-06-07,Austria,2.0,1.0,1,1.0
2025-06-10,Austria,4.0,0.0,1,4.0
2025-09-06,Austria,1.0,0.0,1,1.0
2025-09-09,Austria,2.0,1.0,1,1.0
2025-10-09,Austria,10.0,0.0,1,10.0
2025-10-12,Austria,0.0,1.0,0,-1.0
2025-11-15,Austria,2.0,0.0,1,2.0
2025-11-18,Austria,1.0,1.0,0,0.0
2026-03-27,Austria,5.0,1.0,1,4.0
2026-03-31,Austria,1.0,0.0,1,1.0
2022-06-18,Aymara,1.0,3.0,0,-2.0
2022-06-19,Aymara,0.0,1.0,0,-1.0
2025-06-07,Azerbaijan,0.0,0.0,0,0.0
2025-06-10,Azerbaijan,1.0,2.0,0,-1.0
2025-09-05,Azerbaijan,0.0,5.0,0,-5.0
2025-09-09,Azerbaijan,1.0,1.0,0,0.0
2025-10-10,Azerbaijan,0.0,3.0,0,-3.0
2025-10-13,Azerbaijan,1.0,2.0,0,-1.0
2025-11-13,Azerbaijan,0.0,2.0,0,-2.0
2025-11-16,Azerbaijan,1.0,3.0,0,-2.0
2026-03-27,Azerbaijan,6.0,1.0,1,5.0
2026-03-30,Azerbaijan,1.0,1.0,0,0.0
2024-09-04,Bahamas,3.0,3.0,0,0.0
2024-09-07,Bahamas,2.0,3.0,0,-1.0
2024-10-12,Bahamas,3.0,1.0,1,2.0
2024-10-15,Bahamas,2.0,6.0,0,-4.0
2025-06-04,Bahamas,0.0,6.0,0,-6.0
2025-06-07,Bahamas,0.0,8.0,0,-8.0
2025-11-12,Bahamas,1.0,2.0,0,-1.0
2025-11-15,Bahamas,0.0,6.0,0,-6.0
2026-03-26,Bahamas,1.0,3.0,0,-2.0
2026-03-29,Bahamas,0.0,1.0,0,-1.0
2025-06-05,Bahrain,0.0,2.0,0,-2.0
2025-06-10,Bahrain,0.0,1.0,0,-1.0
2025-09-03,Bahrain,2.0,2.0,0,0.0
2025-09-08,Bahrain,0.0,1.0,0,-1.0
2025-10-09,Bahrain,0.0,1.0,0,-1.0
2025-11-17,Bahrain,1.0,2.0,0,-1.0
2025-11-26,Bahrain,1.0,0.0,1,1.0
2025-12-03,Bahrain,1.0,2.0,0,-1.0
2025-12-06,Bahrain,1.0,5.0,0,-4.0
2025-12-09,Bahrain,3.0,1.0,1,2.0
2024-11-16,Bangladesh,2.0,1.0,1,1.0
2025-03-25,Bangladesh,0.0,0.0,0,0.0
2025-06-04,Bangladesh,2.0,0.0,1,2.0
2025-06-10,Bangladesh,1.0,2.0,0,-1.0
2025-09-06,Bangladesh,0.0,0.0,0,0.0
2025-10-09,Bangladesh,3.0,4.0,0,-1.0
2025-10-14,Bangladesh,1.0,1.0,0,0.0
2025-11-13,Bangladesh,2.0,2.0,0,0.0
2025-11-18,Bangladesh,1.0,0.0,1,1.0
2026-03-26,Bangladesh,0.0,3.0,0,-3.0
2018-04-08,Barawa,4.0,1.0,1,3.0
2018-04-15,Barawa,2.0,7.0,0,-5.0
2018-05-06,Barawa,1.0,3.0,0,-2.0
2018-05-31,Barawa,4.0,0.0,1,4.0
2018-06-02,Barawa,1.0,2.0,0,-1.0
2018-06-03,Barawa,2.0,0.0,1,2.0
2018-06-05,Barawa,0.0,8.0,0,-8.0
2018-06-07,Barawa,0.0,5.0,0,-5.0
2018-06-09,Barawa,0.0,7.0,0,-7.0
2019-05-25,Barawa,0.0,5.0,0,-5.0
2024-11-15,Barbados,1.0,4.0,0,-3.0
2024-11-19,Barbados,3.0,5.0,0,-2.0
2025-05-09,Barbados,0.0,0.0,0,0.0
2025-05-11,Barbados,0.0,0.0,0,0.0
2025-06-04,Barbados,1.0,1.0,0,0.0
2025-06-10,Barbados,1.0,2.0,0,-1.0
2025-11-12,Barbados,3.0,2.0,1,1.0
2025-11-15,Barbados,0.0,3.0,0,-3.0
2026-03-26,Barbados,1.0,3.0,0,-2.0
2026-03-29,Barbados,2.0,3.0,0,-1.0
2011-12-28,Basque Country,0.0,2.0,0,-2.0
2012-12-29,Basque Country,6.0,1.0,1,5.0
2013-12-28,Basque Country,6.0,0.0,1,6.0
2014-12-28,Basque Country,1.0,1.0,0,0.0
2015-12-26,Basque Country,1.0,0.0,1,1.0
2016-05-27,Basque Country,1.0,1.0,0,0.0
2016-12-30,Basque Country,3.0,1.0,1,2.0
2018-10-12,Basque Country,4.0,2.0,1,2.0
2019-05-29,Basque Country,0.0,0.0,0,0.0
2020-11-16,Basque Country,2.0,1.0,1,1.0
2025-06-05,Belarus,4.0,1.0,1,3.0
2025-06-10,Belarus,1.0,4.0,0,-3.0
2025-09-05,Belarus,1.0,5.0,0,-4.0
2025-09-08,Belarus,0.0,2.0,0,-2.0
2025-10-09,Belarus,0.0,6.0,0,-6.0
2025-10-12,Belarus,1.0,2.0,0,-1.0
2025-11-15,Belarus,2.0,2.0,0,0.0
2025-11-18,Belarus,0.0,0.0,0,0.0
2026-03-26,Belarus,1.0,0.0,1,1.0
2026-03-29,Belarus,2.0,1.0,1,1.0
2025-06-06,Belgium,1.0,1.0,0,0.0
2025-06-09,Belgium,4.0,3.0,1,1.0
2025-09-04,Belgium,6.0,0.0,1,6.0
2025-09-07,Belgium,6.0,0.0,1,6.0
2025-10-10,Belgium,0.0,0.0,0,0.0
2025-10-13,Belgium,4.0,2.0,1,2.0
2025-11-15,Belgium,1.0,1.0,0,0.0
2025-11-18,Belgium,7.0,0.0,1,7.0
2026-03-28,Belgium,5.0,2.0,1,3.0
2026-03-31,Belgium,1.0,1.0,0,0.0
2024-11-14,Belize,2.0,1.0,1,1.0
2024-11-19,Belize,2.0,2.0,0,0.0
2025-03-21,Belize,0.0,7.0,0,-7.0
2025-03-25,Belize,1.0,6.0,0,-5.0
2025-06-04,Belize,0.0,1.0,0,-1.0
2025-06-07,Belize,0.0,2.0,0,-2.0
2025-11-15,Belize,1.0,0.0,1,1.0
2025-11-18,Belize,6.0,2.0,1,4.0
2026-03-27,Belize,2.0,3.0,0,-1.0
2026-03-30,Belize,1.0,3.0,0,-2.0
2025-09-09,Benin,4.0,0.0,1,4.0
2025-10-10,Benin,1.0,0.0,1,1.0
2025-10-14,Benin,0.0,4.0,0,-4.0
2025-11-18,Benin,0.0,3.0,0,-3.0
2025-12-23,Benin,0.0,1.0,0,-1.0
2025-12-27,Benin,1.0,0.0,1,1.0
2025-12-30,Benin,0.0,3.0,0,-3.0
2026-01-05,Benin,1.0,3.0,0,-2.0
2026-03-27,Benin,1.0,0.0,1,1.0
2026-03-31,Benin,1.0,0.0,1,1.0
2025-03-25,Bermuda,0.0,2.0,0,-2.0
